"date","close","volume","open","high","low"

"2019/04/05","274.9600","13022740.0000","269.8600","276.1000","266.1100"
"2019/04/04","267.7800","23680170.0000","261.8900","271.2000","260.5900"
"2019/04/03","291.8100","7916650.0000","287.3200","296.1700","287.1700"
"2019/04/02","285.8800","5427184.0000","288.3000","289.4400","283.8800"
"2019/04/01","289.1800","8093134.0000","282.6200","289.2000","281.2810"
"2019/03/29","279.8600","5980355.0000","278.7000","280.1600","274.5000"
"2019/03/28","278.6200","6764921.0000","277.1600","280.3300","275.1000"
"2019/03/27","274.8300","8752384.0000","268.7500","275.3700","268.1838"
"2019/03/26","267.7700","7341868.0000","264.4400","270.2600","264.4300"
"2019/03/25","260.4200","10205080.0000","259.7100","263.1800","254.4600"
"2019/03/22","264.5300","8721950.0000","272.5800","272.8000","264.0000"
"2019/03/21","274.0200","5930925.0000","272.6000","276.4500","268.4500"
"2019/03/20","273.6000","6881976.0000","269.6900","274.9700","266.3000"
"2019/03/19","267.4700","11774330.0000","267.5000","273.3000","263.4600"
"2019/03/18","269.4900","10264960.0000","276.0000","278.0500","267.3000"
"2019/03/15","275.4300","14757360.0000","283.5100","283.7244","274.4000"
"2019/03/14","289.9600","7048138.0000","292.4500","295.3900","288.2900"
"2019/03/13","288.9600","6817854.0000","283.9000","291.9900","282.7000"
"2019/03/12","283.3600","7488037.0000","286.4900","288.0700","281.0600"
"2019/03/11","290.9200","7372298.0000","283.5200","291.2800","280.5000"
"2019/03/08","284.1400","8805772.0000","276.9100","285.5900","275.8900"
"2019/03/07","276.5900","9410697.0000","278.8400","284.7000","274.2500"
"2019/03/06","276.2400","10319370.0000","276.4800","281.5058","274.3900"
"2019/03/05","276.5400","18729800.0000","282.0000","284.0000","270.1000"
"2019/03/04","285.3600","17068890.0000","298.1200","299.0000","282.7800"
"2019/03/01","294.7900","22848750.0000","306.9400","307.1300","291.9000"
"2019/02/28","319.8800","9666224.0000","318.9200","320.0000","310.8100"
"2019/02/27","314.7400","11144100.0000","301.7800","316.2950","300.5500"
"2019/02/26","297.8600","8571609.0000","292.2200","302.0100","288.7701"
"2019/02/25","298.7700","6213701.0000","297.9100","302.9044","297.0005"
"2019/02/22","294.7100","5731380.0000","294.4900","296.5000","292.1000"
"2019/02/21","291.2300","8880830.0000","301.8100","303.2399","290.5000"
"2019/02/20","302.5600","7132969.0000","304.4100","306.3000","299.0000"
"2019/02/19","305.6400","4120520.0000","306.5600","311.5442","305.4700"
"2019/02/15","307.8800","3895815.0000","304.5000","308.0000","303.9000"
"2019/02/14","303.7700","5190887.0000","303.3800","306.7700","301.0000"
"2019/02/13","308.1700","5130398.0000","312.3500","312.7500","305.5700"
"2019/02/12","311.8100","5485419.0000","316.2000","318.1900","309.6200"
"2019/02/11","312.8400","7114012.0000","311.6000","318.6000","310.5000"
"2019/02/08","305.8000","5835078.0000","306.8300","307.4450","298.5000"
"2019/02/07","307.5100","6511830.0000","313.3000","314.7000","303.0000"
"2019/02/06","317.2200","5031368.0000","319.5900","324.2400","315.6240"
"2019/02/05","321.3500","6734739.0000","312.4900","322.4400","312.2494"
"2019/02/04","312.8900","7344076.0000","312.9800","315.3000","301.8800"
"2019/02/01","312.2100","7263618.0000","305.4200","316.1000","303.5000"
"2019/01/31","307.0200","12545190.0000","301.0000","311.5636","294.0000"
"2019/01/30","308.7700","10594040.0000","300.4500","309.0000","298.4900"
"2019/01/29","297.4600","4602933.0000","295.2700","298.5566","291.8000"
"2019/01/28","296.3800","6409477.0000","292.9100","297.4600","287.7500"
"2019/01/25","297.0400","7102781.0000","294.3900","298.5195","289.5500"
"2019/01/24","291.5100","7990911.0000","283.0300","293.6800","279.2831"
"2019/01/23","287.5900","12513080.0000","292.5000","294.5000","281.6900"
"2019/01/22","298.9200","12052130.0000","304.8200","308.0000","295.5000"
"2019/01/18","302.2600","24079260.0000","323.0000","327.1297","299.7301"
"2019/01/17","347.3100","3661162.0000","346.2100","351.5000","344.1500"
"2019/01/16","346.0500","4677227.0000","344.7800","352.0000","343.5000"
"2019/01/15","344.4300","6047890.0000","335.0000","348.8000","334.5000"
"2019/01/14","334.4000","5232690.0000","342.3800","342.5000","334.0000"
"2019/01/11","347.2600","5035078.0000","342.0900","348.4100","338.7700"
"2019/01/10","344.9700","6049621.0000","334.4000","345.3900","331.7900"
"2019/01/09","338.5300","5426618.0000","335.5000","343.5025","331.4700"
"2019/01/08","335.3500","6994427.0000","341.9600","344.0100","327.0200"
